date,tweets_published,impressions,engagements,engagement_rate,retweets,replies,likes,user_profile_clicks,url_clicks,hashtag_clicks,detail_expands,permalink_clicks,app_opens,app_installs,follows,email_tweet,dial_phone,media_views,media_engagements,promoted_impressions,promoted_engagements,promoted_engagement_rate,promoted_retweets,promoted_replies,promoted_likes,promoted_user_profile_clicks,promoted_url_clicks,promoted_hashtag_clicks,promoted_detail_expands,promoted_permalink_clicks,promoted_app_opens,promoted_app_installs,promoted_follows,promoted_email_tweet,promoted_dial_phone,promoted_media_views,promoted_media_engagements
2021-06-22,1,3358,22,0.0065515187611673,3,0,4,2,9,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-06-23,0,3343,2,0.0005982650314089,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-06-24,0,261,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-06-25,0,253,2,0.0079051383399209,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,
2021-06-26,0,247,3,0.0121457489878542,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-06-27,0,184,3,0.0163043478260869,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
2021-06-28,0,326,3,0.00920245398773,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
2021-06-29,2,4302,59,0.0137145513714551,11,0,17,2,15,1,6,0,0,0,0,0,0,8,7,,,,,,,,,,,,,,,,,,
2021-06-30,2,2910,35,0.0120274914089347,2,2,10,2,1,0,10,0,0,0,0,0,0,15,8,,,,,,,,,,,,,,,,,,
2021-07-01,3,2219,17,0.0076611086074808,3,0,5,1,6,0,0,0,0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,
2021-07-02,1,618,12,0.0194174757281553,1,1,4,1,1,0,4,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,
